| Title                                                               | English Title                                                                    | Year    | Status             | Personal Rating | Online Rating | Sub Type   | Type   | Aired From | Aired To   | Airing | Alternate Titles                                                                                                                                                                                                                                                                                                                                                        | Current Episode | Data Source | Date Completed | Date Started | Duration           | Episodes | Favorite | Franchise                             | Genres                                              | Id     | Image                                                                                    | Last Watched | Plot                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | Prequel | Released | Rewatch Count | Sequel | Streaming Services                                                                                                                                                         | Studio                       | Tags                                                                              | Url                                                                                                     | Watched | Writer | Body Text                                                                                                                                                                                                                                                                                                                                                      |
| :------------------------------------------------------------------ | :------------------------------------------------------------------------------- | :-----: | :----------------: | :-------------: | :-----------: | :--------: | :----: | :--------: | :--------: | :----: | :---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | :-------------: | :---------- | :------------: | :----------: | :----------------: | :------: | :------: | :------------------------------------ | :-------------------------------------------------- | :----: | :--------------------------------------------------------------------------------------- | :----------: | :---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | :------ | :------: | :-----------: | :----- | :------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | :--------------------------- | :-------------------------------------------------------------------------------- | :------------------------------------------------------------------------------------------------------ | :-----: | :----- | :------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| Aho Girl                                                            | AHO-GIRL                                                                         |   2017  |     Completed      |      ★ 7/10     |     ★ 6.71    |     tv     | series |  7/4/2017  | 9/19/2017  | false  | アホガール, AHO-GIRL, Aho Girl, Ahogaru: Clueless Girl, Dummy Girl                                                                                                                                                                                                                                                                                                           |        0        | MALAPI      |       -        |      -       |   12 min per ep    |    12    |  false   | -                                     | Comedy                                              | 34881  | https://cdn.myanimelist.net/images/anime/7/86665.jpg                                     |      -       | Yoshiko Hanabatake is an idiot beyond all belief. Somehow managing to consistently score zeroes on all of her tests and consumed by an absurd obsession with bananas, her senseless acts have caused even her own mother to lose all hope. Only one person is up to the task of keeping her insanity in check: childhood friend Akuru "A-kun" Akutsu. Though he bemoans the ridiculous behavior he has to endure, the studious but terrifying A-kun is always ready to put an end to any stupidity Yoshiko gets up to, with no qualms about using physical force. Unfortunately, no matter how many times he attempts to knock some sense into her, the girl bounces right back to her usual shenanigans, even dragging in some other eccentrics along for the ride. Try as he might to rein in her nonsense, every moment is unpredictable with Yoshiko and her profound idiocy on the loose. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | -       |   true   |       0       | -      | Crunchyroll, Netflix                                                                                                                                                       | Diomedéa                     | genre/Comedy                                                                      | https://myanimelist.net/anime/34881/Aho_Girl                                                            |   true  | -      | -                                                                                                                                                                                                                                                                                                                                                              |
| Ansatsu Kyoushitsu                                                  | Assassination Classroom                                                          |   2015  |     Completed      |      ★ 6/10     |     ★ 8.07    |     tv     | series | 1/10/2015  | 6/20/2015  | false  | Ansatsu Kyoushitsu, 暗殺教室, Assassination Classroom                                                                                                                                                                                                                                                                                                                       |        0        | MALAPI      |       -        |      -       |   23 min per ep    |    22    |  false   | [[Assassination Classroom Franchise]] | Action, Comedy                                      | 24833  | https://cdn.myanimelist.net/images/anime/5/75639.jpg                                     |      -       | Tucked in the mountains near the elite Kunugigaoka Middle School lies a small derelict building that houses the delinquents and dropouts of Class 3-E. Looked down upon by their peers, the students in this class appear to have little hope in advancing their academic careers. That is, until the national government tasks them with eliminating the greatest threat to their planet: their new teacher. Having already destroyed the moon, the octopus-like professor—dubbed "Koro-sensei"—has now threatened to destroy the Earth by March of the following year. In light of their mission, the students have found that killing him is easier said than done. Not only can Koro-sensei move at speeds of up to Mach 20, but he can also resist almost every earthly weapon. Ironically, he also proves to be one of the best teachers Class 3-E has ever had. Training the class to excel in both their studies as students and skills as assassins, Koro-sensei is confident that his students' ingenuity and indomitable will could return them to the main campus. Through trial and error, Nagisa Shiota, as well as the other students of Class 3-E, must figure out Koro-sensei's weaknesses—and fast, for the very fate of the world depends upon it. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | -       |   true   |       0       | -      | Crunchyroll, Netflix                                                                                                                                                       | Lerche                       | genre/Action, genre/Comedy                                                        | https://myanimelist.net/anime/24833/Ansatsu_Kyoushitsu                                                  |   true  | -      | -                                                                                                                                                                                                                                                                                                                                                              |
| Ansatsu Kyoushitsu 2nd Season                                       | Assassination Classroom Second Season                                            |   2016  |     Completed      |      ★ 6/10     |     ★ 8.47    |     tv     | series |  1/8/2016  |  7/1/2016  | false  | Ansatsu Kyoushitsu Final Season, 暗殺教室　第２期, Ansatsu Kyoushitsu Season 2, Assassination Classroom Second Season, Ansatsu Kyoushitsu 2nd Season                                                                                                                                                                                                                            |        0        | MALAPI      |       -        |      -       |   23 min per ep    |    25    |  false   | [[Assassination Classroom Franchise]] | Action, Comedy                                      | 30654  | https://cdn.myanimelist.net/images/anime/8/77966.jpg                                     |      -       | Returning from their summer vacation, the students of Class 3-E at the prestigious Kunugigaoka Middle School find themselves up against unbeatable odds. Faced with the possibility of world annihilation, the students must come up with increasingly elaborate and creative ways to kill their teacher, the cunning yet optimistic and helpful Koro-sensei. However, eliminating Koro-sensei is not the only objective the students need to worry about. Gakuhou Asano, the academy's merciless and cruel principal, seeks to prevent Class 3-E's success by brainwashing his other hard-working pupils into ruthlessly competitive studying machines. Hostility begins to linger in the air as traitors and killers alike attempt to claim the bounty on Koro-sensei's head for themselves. Nagisa Shiota, one of Class 3-E's most skilled assassins, finds himself in the middle of the conflict. While he works to maintain his academic standing and prevent the end of the world, domestic affairs jeopardize his place in Class 3-E. Together with his dedicated classmates, he must now face the threats head-on. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | -       |   true   |       0       | -      | Crunchyroll, Netflix                                                                                                                                                       | Lerche                       | genre/Action, genre/Comedy                                                        | https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season                                       |   true  | -      | -                                                                                                                                                                                                                                                                                                                                                              |
| Shingeki no Kyojin                                                  | Attack on Titan                                                                  |   2013  |     Completed      |     ★ 10/10     |     ★ 8.57    |     tv     | series |  4/7/2013  | 9/29/2013  | false  | Shingeki no Kyojin, SnK, AoT, Attack on Titan, 進撃の巨人                                                                                                                                                                                                                                                                                                                    |        0        | MALAPI      |       -        |      -       |   24 min per ep    |    25    |  false   | [[Attack on Titan Franchise]]         | Action, Award Winning, Drama, Suspense              | 16498  | https://cdn.myanimelist.net/images/anime/10/47347.jpg                                    |      -       | Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called Titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. To ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. However, that fragile calm is soon shattered when a colossal Titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations. After witnessing a horrific personal loss at the hands of the invading creatures, Eren Yeager dedicates his life to their eradication by enlisting into the Survey Corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. Eren, his adopted sister Mikasa Ackerman, and his childhood friend Armin Arlert join the brutal war against the Titans and race to discover a way of defeating them before the last walls are breached. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | -       |   true   |       0       | -      | Crunchyroll, Netflix, Shahid                                                                                                                                               | Wit Studio                   | genre/Action, genre/Award-Winning, genre/Drama, genre/Suspense                    | https://myanimelist.net/anime/16498/Shingeki_no_Kyojin                                                  |   true  | -      | -                                                                                                                                                                                                                                                                                                                                                              |
| Shingeki no Kyojin: The Final Season                                | Attack on Titan: Final Season                                                    |   2021  |     Completed      |     ★ 10/10     |     ★ 8.79    |     tv     | series | 12/7/2020  | 3/29/2021  | false  | 進撃の巨人 The Final Season, Attack on Titan: Final Season, Shingeki no Kyojin Season 4, Attack on Titan Season 4, Shingeki no Kyojin: The Final Season                                                                                                                                                                                                                      |        0        | MALAPI      |       -        |      -       |   23 min per ep    |    16    |  false   | [[Attack on Titan Franchise]]         | Action, Drama, Suspense                             | 40028  | https://cdn.myanimelist.net/images/anime/1000/110531.jpg                                 |      -       | Gabi Braun and Falco Grice have been training their entire lives to inherit one of the seven Titans under Marley's control and aid their nation in eradicating the Eldians on Paradis. However, just as all seems well for the two cadets, their peace is suddenly shaken by the arrival of Eren Yeager and the remaining members of the Survey Corps. Having finally reached the Yeager family basement and learned about the dark history surrounding the Titans, the Survey Corps has at long last found the answer they so desperately fought to uncover. With the truth now in their hands, the group set out for the world beyond the walls. In Shingeki no Kyojin: The Final Season, two utterly different worlds collide as each party pursues its own agenda in the long-awaited conclusion to Paradis' fight for freedom. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | -       |   true   |       0       | -      | Crunchyroll, Netflix                                                                                                                                                       | MAPPA                        | genre/Action, genre/Drama, genre/Suspense                                         | https://myanimelist.net/anime/40028/Shingeki_no_Kyojin_-_The_Final_Season                               |   true  | -      | -                                                                                                                                                                                                                                                                                                                                                              |
| Shingeki no Kyojin: The Final Season - Kanketsu-hen                 | Attack on Titan: Final Season - The Final Chapters                               |   2023  |     Completed      |     ★ 10/10     |     ★ 8.86    | tv special | series |  3/4/2023  | 11/5/2023  | false  | Shingeki no Kyojin: The Final Season - Kanketsu-hen, Shingeki no Kyojin Season 4, Attack on Titan: Final Season - The Final Chapters, 進撃の巨人 The Final Season完結編, Shingeki no Kyojin: The Final Season Part 3, Attack on Titan Season 4                                                                                                                                  |        0        | MALAPI      |       -        |      -       | 1 hr 12 min per ep |    2     |  false   | [[Attack on Titan Franchise]]         | Action, Drama, Suspense                             | 51535  | https://cdn.myanimelist.net/images/anime/1279/131078.jpg                                 |      -       | In the wake of Eren Yeager's cataclysmic actions, his friends and former enemies form an alliance against his genocidal rampage. Though once bitter foes, Armin Arlert, Mikasa Ackerman, and the remaining members of the Scout Regiment join forces with Reiner Braun and the survivors of the Marleyan military. Their meager united front sets out on a mission to stop Eren's wrath and—if possible—save their old comrade in the process. As Eren pushes forward at any cost, he battles his own internal turmoil. Although he feels immense remorse over his horrific invasion, Eren believes he harbors noble intentions: he believes the path ahead is the only way to save his friends and, to a greater extent, his people. The opposing battalions spiral toward an inevitable final clash that may claim the lives of millions. Though they face an army of monsters beyond anything they could have previously imagined, Mikasa, Armin, and their allies stand brave in the face of certain doom. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | -       |   true   |       0       | -      | -                                                                                                                                                                          | MAPPA                        | genre/Action, genre/Drama, genre/Suspense                                         | https://myanimelist.net/anime/51535/Shingeki_no_Kyojin_-_The_Final_Season_-_Kanketsu-hen                |   true  | -      | -                                                                                                                                                                                                                                                                                                                                                              |
| Shingeki no Kyojin: The Final Season Part 2                         | Attack on Titan: Final Season Part 2                                             |   2022  |     Completed      |     ★ 10/10     |     ★ 8.77    |     tv     | series | 1/10/2022  |  4/4/2022  | false  | 進撃の巨人 The Final Season Part 2, Shingeki no Kyojin: The Final Season Part 2, Shingeki no Kyojin Season 4, Attack on Titan: Final Season Part 2, Attack on Titan Season 4                                                                                                                                                                                                 |        0        | MALAPI      |       -        |      -       |   23 min per ep    |    12    |  false   | [[Attack on Titan Franchise]]         | Action, Drama, Suspense                             | 48583  | https://cdn.myanimelist.net/images/anime/1948/120625.jpg                                 |      -       | Turning against his former allies and enemies alike, Eren Yeager sets a disastrous plan in motion. Under the guidance of the Beast Titan, Zeke, Eren takes extreme measures to end the ancient conflict between Marley and Eldia—but his true intentions remain a mystery. Delving deep into his family's past, Eren fights to control his own destiny. Meanwhile, the long-feuding nations of Marley and Eldia utilize both soldiers and Titans in a brutal race to eliminate the other. Reiner Braun uses his own powers in a desperate bid to hold off Eren's own militaristic force, and his fellow Eldians—children Falco Grice and Gabi Braun—struggle to survive in the unfolding chaos. Elsewhere, Eren's childhood friends Mikasa Ackerman and Armin Arlert remain imprisoned alongside Eren's former Survey Corps companions, all disturbed by Eren's monstrous transformation. Under the blind belief that Eren still secretly harbors good intentions, Mikasa and the others enter the fray in an attempt to save their friend's very soul. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | -       |   true   |       0       | -      | Crunchyroll, AIS Play, Aniplus Asia, Aniplus TV, Bahamut Anime Crazy, Bilibili, CatchPlay, Hulu, Laftel, MeWatch, iQIYI                                                    | MAPPA                        | genre/Action, genre/Drama, genre/Suspense                                         | https://myanimelist.net/anime/48583/Shingeki_no_Kyojin_-_The_Final_Season_Part_2                        |   true  | -      | -                                                                                                                                                                                                                                                                                                                                                              |
| Shingeki no Kyojin: Lost Girls                                      | Attack on Titan: Lost Girls                                                      |   2017  |     Completed      |      ★ 8/10     |     ★ 7.83    |    ova     | series | 12/8/2017  |  8/9/2018  | false  | 進撃の巨人 LOST GIRLS, Attack on Titan: Lost Girls, Shingeki no Kyojin: Lost Girls                                                                                                                                                                                                                                                                                           |        0        | MALAPI      |       -        |      -       |   25 min per ep    |    3     |  false   | [[Attack on Titan Franchise]]         | Action, Drama                                       | 36106  | https://cdn.myanimelist.net/images/anime/3/89417.jpg                                     |      -       | Wall Sina, Goodbye Annie Leonhart has a job to do—and a resulting absence that must stay off her record at all costs. With no one else to turn to, she asks her comrade Hitch Dreyse to cover for her. She agrees but puts forward a single condition: Annie must solve the fruitless missing person case Hitch was assigned. The case revolves around Carly Stratmann, a university graduate and the daughter of wealthy businessman Elliot Stratmann. With only a single day to solve the case and the underground of the Stohess District crawling with thugs, Annie must put her all into finding this girl. Yet, every answer she uncovers only leads to further questions—how has the illegal drug coderoin found its way to Stohess, what is Elliot hiding, and where has Carly disappeared to? Lost in the Cruel World With worry for Eren Yeager gripping her heart, Mikasa Ackerman begins to remember. She remembers her conversations with Armin Arlert, her concern for her friends, and most painfully, the time she had almost lost everything. As fear takes control, she begins to experience an alternate version of her past—some things can be changed, but are there events so inescapable that she cannot even prevent them in her dreams? [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | -       |   true   |       0       | -      | Crunchyroll                                                                                                                                                                | Wit Studio                   | genre/Action, genre/Drama                                                         | https://myanimelist.net/anime/36106/Shingeki_no_Kyojin_-_Lost_Girls                                     |   true  | -      | -                                                                                                                                                                                                                                                                                                                                                              |
| Shingeki no Kyojin: Kuinaki Sentaku                                 | Attack on Titan: No Regrets                                                      |   2014  |     Completed      |      ★ 7/10     |     ★ 8.42    |    ova     | series | 12/9/2014  |  4/9/2015  | false  | Attack on Titan: No Regrets, 進撃の巨人 悔いなき選択, Shingeki no Kyojin: Birth of Levi, Shingeki no Kyojin: Kuinaki Sentaku                                                                                                                                                                                                                                                       |        0        | MALAPI      |       -        |      -       |   27 min per ep    |    2     |  false   | [[Attack on Titan Franchise]]         | Action                                              | 25781  | https://cdn.myanimelist.net/images/anime/8/69497.jpg                                     |      -       | Many years before becoming the famed captain of the Survey Corps, a young Levi struggles to survive in the capital's garbage dump, the Underground. As the boss of his own criminal operation, Levi attempts to get by with meager earnings while aided by fellow criminals, Isabel Magnolia and Farlan Church. With little hope for the future, Levi accepts a deal from the anti-expedition faction leader Nicholas Lobov, who promises the trio citizenship aboveground if they are able to successfully assassinate Erwin Smith, a squad leader of the Survey Corps. As Levi and Erwin cross paths, Erwin acknowledges Levi's agility and skill and gives him the option to either become part of the expedition team, or be turned over to the Military Police, to atone for his crimes. Now closer to the man they are tasked to kill, the group plans to complete their mission and save themselves from a grim demise in the dim recesses of their past home. However, they are about to learn that the surface world is not as liberating as they had thought and that sometimes, freedom can come at a heavy price. Based on the popular spin-off manga of the same name, Shingeki no Kyojin: Kuinaki Sentaku illustrates the encounter between two of Shingeki no Kyojin's pivotal characters, as well as the events of the 23rd expedition beyond the walls. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | -       |   true   |       0       | -      | Crunchyroll                                                                                                                                                                | Wit Studio                   | genre/Action                                                                      | https://myanimelist.net/anime/25781/Shingeki_no_Kyojin_-_Kuinaki_Sentaku                                |   true  | -      | -                                                                                                                                                                                                                                                                                                                                                              |
