| Title                                     | English Title                             | Year | Status            | Personal Rating | Online Rating | Sub Type   | Type | Data Source | Date Completed | Date Started | Developers                                                    | Favorite | Franchise                      | Genres                                     | Id         | Image                                                                                                                                       | Platform                                                                             | Play Time | Played | Playtime | Prequel | Publishers                                                                     | Publishing Status | Release Date | Released | Replay Count | Sequel | Tags                                                                     | Url                                           | Body Text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| :---------------------------------------- | :---------------------------------------- | :--: | :---------------: | :-------------: | :-----------: | :--------: | :--: | :---------- | :------------: | :----------: | :------------------------------------------------------------ | :------: | :----------------------------- | :----------------------------------------- | :--------: | :------------------------------------------------------------------------------------------------------------------------------------------ | :----------------------------------------------------------------------------------- | :-------: | :----: | :------: | :------ | :----------------------------------------------------------------------------- | :---------------- | :----------: | :------: | :----------: | :----- | :----------------------------------------------------------------------- | :-------------------------------------------- | :----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| Assassin's Creed: Brotherhood             | Assassin's Creed: Brotherhood             | 2010 |     Completed     |      ★ 8/10     |     ★ 8.7     | PC/Console | game | OMDbAPI     |       -        |      -       | -                                                             |  false   | [[Assasins's Creed Franchise]] | Action, Adventure, History, Sci-Fi         | tt1699759  | https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/48190/header.jpg?t=1681861086                                            | -                                                                                    |     20    | false  |    -     | -       | -                                                                              | -                 |  11/16/2010  |   true   |      0       | -      | genre/Action, genre/Adventure, genre/History, genre/Sci-Fi               | https://www.imdb.com/title/tt1699759/         | -                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Assassin’s Creed® IV Black Flag™          | Assassin’s Creed® IV Black Flag™          | nan  | Currently Playing |        -        |       -       | PC/Console | game | SteamAPI    |       -        |      -       | Ubisoft Montreal                                              |  false   | [[Assasins's Creed Franchise]] | Action, Adventure                          |   242050   | https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/242050/header.jpg?t=1777052740                                           | -                                                                                    |     0     | false  |    -     | -       | Ubisoft                                                                        | -                 |   unknown    |   true   |      0       | -      | genre/Action, genre/Adventure                                            | https://store.steampowered.com/app/242050     | -                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Assassin’s Creed® Rogue                   | Assassin’s Creed® Rogue                   | 2015 |      Dropped      |        -        |      ★ 74     | PC/Console | game | SteamAPI    |       -        |      -       | Ubisoft Sofia, Ubisoft Kiev                                   |  false   | [[Assasins's Creed Franchise]] | Action, Adventure                          |   311560   | https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/311560/header.jpg?t=1751968973                                           | -                                                                                    |     10    | false  |    -     | -       | Ubisoft                                                                        | -                 |  03/23/2015  |   true   |      0       | -      | genre/Action, genre/Adventure                                            | https://store.steampowered.com/app/311560     | -                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Boom Beach                                | Boom Beach                                | 2014 |      Dropped      |        -        |      ★ 61     |   Mobile   | game | RAWG        |       -        |      -       | Supercell                                                     |  false   | -                              | Action, Strategy                           |    1658    | https://media.rawg.io/media/screenshots/7ff/7ff2f9307750f3fd47e6683c98f45d62.jpeg                                                           | -                                                                                    |     0     | false  |    -     | -       | Supercell Oy                                                                   | -                 |  03/26/2014  |   true   |      0       | -      | genre/Action, genre/Strategy                                             | https://rawg.io/games/boom-beach              | Welcome to Boom Beach: come with a plan or leave in defeat! Fight the evil Blackguard with brains and brawn in this epic combat strategy game. Attack enemy bases to free enslaved islanders and unlock the secrets of this tropical paradise. Create a Task Force with players around the world to take on the enemy together. Scout, plan, then BOOM THE BEACH! PLEASE NOTE! Boom Beach is free to download and play. However, some game items can also be purchased for real money. If you don't want to use this feature, please disable in-app purchases in your device's settings. FEATURES - Play with millions of other players, raid hundreds of enemy bases for loot - Battle for control of precious resources to upgrade your base against enemy attacks - Explore a huge tropical archipelago and discover the mysterious power of the Life Crystals - Face fearsome Blackguard Bosses and uncover their evil plans - Join other players to form an unstoppable Task Force to take on co-op missions Under our Terms of Services and Privacy Policy, Boom Beach is allowed for download and play only for persons 13 years or over of age. Note: A network connection is required to play. Parent's guide: http://www.supercell.net/parents Privacy Policy: http://www.supercell.net/privacy-policy/ Terms of Service: http://www.supercell.net/terms-of-service/ Extra Builders have arrived! Extra Builders is a monthly subscription service that allows you to build or upgrade two buildings at the same time. Extra Builders cost 2.99 USD/month (or local equivalent). Extra Builders subscription will renew automatically unless auto-renew is turned off at least 24-hours before the end of the current period. Payment will be charged to iTunes Account at confirmation of purchase. Account will be charged for renewal within 24-hours prior to the end of the current period. Renewal costs 2.99 USD/month (or local equivalent). Subscriptions may be managed by the user and auto-renewal may be turned off by going to the user's Account Settings after purchase. No cancellation of the current subscription is allowed during active subscription period.                                                                                                                                                                                                                                                                                                           |
| Brawl Stars                               | Brawl Stars                               | 2018 |      Dropped      |        -        |     ★ 6.9     |   Mobile   | game | OMDbAPI     |       -        |      -       | -                                                             |  false   | -                              | Action                                     | tt9480088  | https://supercell.com/images/1a5b69311180a4a1c374e10556941f05/hero_bg_brawlstars.a385872a.webp                                              | -                                                                                    |     0     | false  |    -     | -       | -                                                                              | -                 |  12/01/2018  |   true   |      0       | -      | genre/Action                                                             | https://www.imdb.com/title/tt9480088/         | -                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Call of Duty: Mobile                      | Call of Duty: Mobile                      | 2019 |      Dropped      |        -        |     ★ 7.6     |   Mobile   | game | OMDbAPI     |       -        |      -       | -                                                             |  false   | -                              | Action                                     | tt11049554 | https://codm.garena.com/static/images/Main-page/P1/main-kv.jpg                                                                              | -                                                                                    |     0     | false  |    -     | -       | -                                                                              | -                 |  10/01/2019  |   true   |      0       | -      | genre/Action                                                             | https://www.imdb.com/title/tt11049554/        | -                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Clash Royale                              | Clash Royale                              | 2016 | Currently Playing |        -        |     ★ 7.1     |   Mobile   | game | OMDbAPI     |       -        |      -       | -                                                             |  false   | -                              | N/A                                        | tt6749432  | https://supercell.com/images/8654bffbaa77efb91243d3706b739c25/og_clashroyale.d235f90b.webp                                                  | -                                                                                    |     19    | false  |    -     | -       | -                                                                              | -                 |  03/02/2016  |   true   |      0       | -      | genre/N/A                                                                | https://www.imdb.com/title/tt6749432/         | -                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Clash of Clans                            | Clash of Clans                            | 2012 |      Dropped      |        -        |     ★ 6.6     |   Mobile   | game | OMDbAPI     |       -        |      -       | -                                                             |  false   | -                              | Action, Fantasy                            | tt6318978  | https://cdn.thegamesdb.net/images/medium/fanart/20496-1.jpg                                                                                 | -                                                                                    |    167    | false  |    -     | -       | -                                                                              | -                 |  08/02/2012  |   true   |      0       | -      | genre/Action, genre/Fantasy                                              | https://www.imdb.com/title/tt6318978/         | -                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| ELDEN RING                                | ELDEN RING                                | 2022 |    Plan to Play   |        -        |      ★ 94     | PC/Console | game | SteamAPI    |       -        |      -       | FromSoftware, Inc.                                            |  false   | -                              | Action, RPG                                |  1245620   | https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1245620/header.jpg?t=1767883716                                          | -                                                                                    |     0     | false  |    -     | -       | FromSoftware, Inc., Bandai Namco Entertainment                                 | -                 |  02/25/2022  |   true   |      0       | -      | genre/Action, genre/RPG                                                  | https://store.steampowered.com/app/1245620    | -                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
