| Title                                                       | English Title            | Year | Status            | Personal Rating | Online Rating | Sub Type | Type  | Alternate Titles                                                                                                                                                                    | Authors                          | Chapters | Current Chapter | Current Volume | Data Source  | Date Completed | Date Started | Favorite | Franchise                 | Genres                                                   | Id     | Image                                                 | Last Watched | Plot                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | Prequel | Published From | Published To | Publishing Status | Released | Rewatch Count | Sequel | Tags                                                                                         | Url                                                                                             | Volumes | Watched |
| :---------------------------------------------------------- | :----------------------- | :--: | :---------------: | :-------------: | :-----------: | :------: | :---: | :---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | :------------------------------- | :------: | :-------------: | :------------: | :----------- | :------------: | :----------: | :------: | :------------------------ | :------------------------------------------------------- | :----: | :---------------------------------------------------- | :----------: | :-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | :------ | :------------: | :----------: | :---------------- | :------: | :-----------: | :----- | :------------------------------------------------------------------------------------------- | :---------------------------------------------------------------------------------------------- | :-----: | :-----: |
| 20th Century Boys                                           | 20th Century Boys        | 1999 |    Plan to Read   |        -        |     ★ 8.93    |  manga   | manga | Nijuu Seiki Shounen, Nijuusseiki Shounen, 20 Seiki Shounen, 20世紀少年, 20th Century Boys, 20thCB                                                                                       | Urasawa, Naoki                   |   249    |        0        |       0        | MALAPI Manga |       -        |      -       |  false   | -                         | Award Winning, Drama, Mystery, Sci-Fi                    |   3    | https://cdn.myanimelist.net/images/manga/5/260006.jpg |      -       | As the 20th century approaches its end, people all over the world are anxious that the world is changing. And probably not for the better. Kenji Endou is a normal convenience store manager who is just trying to get by. But when he learns that one of his old friends going by the name "Donkey" has suddenly committed suicide and that a new cult led by a figure known as "Friend" is becoming more notorious, Kenji starts to feel that something is not right. With a few key clues left behind by his deceased friend, Kenji realizes that this cult is much more than he ever thought it would be—not only is this mysterious organization directly targeting him and his childhood friends, but the whole world also faces a grave danger that only the friends have the key to stop. Kenji's simple life of barely making ends meet is flipped upside down when he reunites with his childhood friends, and together they must figure out the truth of how their past is connected to the cult, as the turn of the century could mean the possible end of the world. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                              | -       |   9/27/1999    |  4/24/2006   | Finished          |   true   |       0       | -      | genre/Award-Winning, genre/Drama, genre/Mystery, genre/Sci-Fi                                | https://myanimelist.net/manga/3/20th_Century_Boys                                               |    22   |  false  |
| Berserk                                                     | Berserk                  | 1989 |      Dropped      |        -        |     ★ 9.46    |  manga   | manga | Berserk, Berserk: The Prototype, ベルセルク, Berserk                                                                                                                                     | Miura, Kentarou, Studio Gaga     |    -     |        0        |       0        | MALAPI Manga |       -        |      -       |  false   | -                         | Action, Adventure, Award Winning, Drama, Fantasy, Horror |   2    | https://cdn.myanimelist.net/images/manga/1/157897.jpg |      -       | Guts, a former mercenary now known as the Black Swordsman, is out for revenge. After a tumultuous childhood, he finally finds someone he respects and believes he can trust, only to have everything fall apart when this person takes away everything important to Guts for the purpose of fulfilling his own desires. Now marked for death, Guts becomes condemned to a fate in which he is relentlessly pursued by demonic beings. Setting out on a dreadful quest riddled with misfortune, Guts, armed with a massive sword and monstrous strength, will let nothing stop him, not even death itself, until he is finally able to take the head of the one who stripped him—and his loved one—of their humanity. [Written by MAL Rewrite] Included one-shot: Volume 14: Berserk: The Prototype                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | -       |   8/25/1989    |   1/1/1970   | -                 |   true   |       0       | -      | genre/Action, genre/Adventure, genre/Award-Winning, genre/Drama, genre/Fantasy, genre/Horror | https://myanimelist.net/manga/2/Berserk                                                         |    -    |  false  |
| Sayonara Eri                                                | Goodbye, Eri             | 2022 |     Completed     |      ★ 8/10     |     ★ 8.64    |  manga   | manga | さよなら絵梨, Goodbye, Eri, Sayonara Eri                                                                                                                                                  | Fujimoto, Tatsuki                |    -     |        0        |       0        | MALAPI Manga |       -        |      -       |  false   | -                         | Drama                                                    | 145863 | https://cdn.myanimelist.net/images/manga/3/263979.jpg |      -       | Suffering from a terminal illness, Yuuta Itou's mother asks him to film her last moments, which he does. From her radiant smile when she is with her family to the times when sickness ravages her body in the hospital, he records hours upon hours of footage. After her passing, Yuuta compiles her life into a movie to screen at his school, deciding to add a bit of fantasy to the ending of his film, Dead Explosion Mother, with a literal explosion! Following the backlash caused by his supposedly tone-deaf portrayal of his mother's death, Yuuta trudges to the hospital roof to take his own life—but there, he meets a girl named Eri. Captivated by his film, Eri requests Yuuta to make a new one that will blow the previous out of the water and prove his critics wrong. The movie they set out to make will stand apart by blurring the line between fact and fiction. And of course, it would not be a Yuuta film if it did not have his personal flavor—just a dash of fantasy. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                       | -       |   4/11/2022    |      -       | Finished          |   true   |       0       | -      | genre/Drama                                                                                  | https://myanimelist.net/manga/145863/Sayonara_Eri                                               |    1    |   true  |
| Oyasumi Punpun                                              | Goodnight Punpun         | 2007 | Currently Reading |        -        |     ★ 8.98    |  manga   | manga | Oyasumi Punpun, おやすみプンプン, Goodnight Punpun                                                                                                                                          | Asano, Inio                      |   147    |        72       |       7        | MALAPI Manga |       -        |      -       |  false   | -                         | Drama, Slice of Life                                     |  4632  | https://cdn.myanimelist.net/images/manga/3/266834.jpg |      -       | Punpun Onodera is a normal 11-year-old boy living in Japan. Hopelessly idealistic and romantic, Punpun begins to see his life take a subtle—though nonetheless startling—turn to the adult when he meets the new girl in his class, Aiko Tanaka. It is then that the quiet boy learns just how fickle maintaining a relationship can be, and the surmounting difficulties of transitioning from a naive boyhood to a convoluted adulthood. When his father assaults his mother one night, Punpun realizes another thing: those whom he looked up to were not as impressive as he once thought. As his problems increase, Punpun's once shy demeanor turns into voluntary reclusiveness. Rather than curing him of his problems and conflicting emotions, this merely intensifies them, sending him down the dark path of maturity in this grim coming-of-age saga. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | -       |   3/15/2007    |  11/2/2013   | Finished          |   true   |       0       | -      | genre/Drama, genre/Slice-of-Life                                                             | https://myanimelist.net/manga/4632/Oyasumi_Punpun                                               |    13   |  false  |
| Homunculus                                                  | Homunculus               | 2003 |    Plan to Read   |        -        |     ★ 8.35    |  manga   | manga | Homunculus, ホムンクルス                                                                                                                                                                  | Yamamoto, Hideo                  |   166    |        0        |       0        | MALAPI Manga |       -        |      -       |  false   | -                         | Drama, Horror, Mystery, Supernatural                     |  936   | https://cdn.myanimelist.net/images/manga/1/318.jpg    |      -       | Susumu Nakoshi is a middle-aged man who spends his days between a lavish first-class hotel and a park full of homeless people. One day, an eccentric young man approaches Nakoshi in search of subjects willing to partake in trepanation—the procedure of drilling a hole in the skull. This mysterious person claims that Nakoshi is the perfect man for the experiment. Initially rejecting the offer, he doubles back on his decision after his car gets towed off. Nakoshi agrees to let Manabu Ito, a 22-year-old medical student, drill a hole in his skull in exchange for 700,000 yen. The procedure bears no results at first, with Nakoshi showing no abnormalities. This normalcy comes to an abrupt end, however, when Nakoshi begins seeing the homunculus in every person. With his perception distorted, how will Nakoshi face these homunculi? [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | -       |   3/17/2003    |  2/21/2011   | Finished          |   true   |       0       | -      | genre/Drama, genre/Horror, genre/Mystery, genre/Supernatural                                 | https://myanimelist.net/manga/936/Homunculus                                                    |    15   |  false  |
| Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen  | Kaguya-sama: Love Is War | 2015 |     Completed     |        -        |     ★ 8.89    |  manga   | manga | Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen, かぐや様は告らせたい～天才たちの恋愛頭脳戦～, Kaguya-sama: Love Is War, Kaguya Wants to be Confessed To: The Geniuses' War of Love and Brains | Akasaka, Aka                     |   281    |        0        |       0        | MALAPI Manga |       -        |      -       |  false   | [[Kaguya-sama Franchise]] | Award Winning, Comedy, Romance                           | 90125  | https://cdn.myanimelist.net/images/manga/3/188896.jpg |      -       | Considered a genius due to having the highest grades in the country, Miyuki Shirogane leads the prestigious Shuchiin Academy's student council as its president, working alongside the beautiful and wealthy vice president Kaguya Shinomiya. The two are often regarded as the perfect couple by students despite them not being in any sort of romantic relationship. However, the truth is that after spending so much time together, the two have developed feelings for one another; unfortunately, neither is willing to confess, as doing so would be a sign of weakness. With their pride as elite students on the line, Miyuki and Kaguya embark on a quest to do whatever is necessary to get a confession out of the other. Through their daily antics, the battle of love begins! [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | -       |   5/19/2015    |  11/2/2022   | Finished          |   true   |       0       | -      | genre/Award-Winning, genre/Comedy, genre/Romance                                             | https://myanimelist.net/manga/90125/Kaguya-sama_wa_Kokurasetai_-_Tensai-tachi_no_Renai_Zunousen |    28   |   true  |
| Monster                                                     | Monster                  | 1994 |     Completed     |     ★ 10/10     |     ★ 9.17    |  manga   | manga | Monster, MONSTER                                                                                                                                                                    | Urasawa, Naoki                   |   162    |        0        |       0        | MALAPI Manga |       -        |      -       |  false   | -                         | Award Winning, Drama, Mystery                            |   1    | https://cdn.myanimelist.net/images/manga/3/258224.jpg |      -       | Kenzou Tenma, a renowned Japanese neurosurgeon working in post-war Germany, faces a difficult choice: to operate on Johan Liebert, an orphan boy on the verge of death, or on the mayor of Düsseldorf. In the end, Tenma decides to gamble his reputation by saving Johan, effectively leaving the mayor for dead. As a consequence of his actions, hospital director Heinemann strips Tenma of his position, and Heinemann's daughter Eva breaks off their engagement. Disgraced and shunned by his colleagues, Tenma loses all hope of a successful career—that is, until the mysterious killing of Heinemann gives him another chance. Nine years later, Tenma is the head of the surgical department and close to becoming the director himself. Although all seems well for him at first, he soon becomes entangled in a chain of gruesome murders that have taken place throughout Germany. The culprit is a monster—the same one that Tenma saved on that fateful day nine years ago. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                                   | -       |   12/5/1994    |  12/20/2001  | Finished          |   true   |       0       | -      | genre/Award-Winning, genre/Drama, genre/Mystery                                              | https://myanimelist.net/manga/1/Monster                                                         |    18   |   true  |
| Kokou no Hito                                               | The Climber              | 2007 |    Plan to Read   |        -        |     ★ 8.85    |  manga   | manga | The Climber, Kokou no Hito, 孤高の人                                                                                                                                                    | Sakamoto, Shinichi               |   170    |        0        |       0        | MALAPI Manga |       -        |      -       |  false   | -                         | Award Winning, Drama, Sports                             |  7375  | https://cdn.myanimelist.net/images/manga/1/324690.jpg |      -       | Through pain and arduous effort, one can reach the top of the world. Standing where no man has ever set foot before, there is an exhilarating feeling of success. This is what Mori Buntarou trains, works, and lives for. His climb to the top starts when he transfers to a new high school. Despite his lonesome and solitary nature, Mori's classmates persuade him to climb the school building. Without a harness or hesitation, he begins his scale to reach the top. Edging past the point of no return, he halts when he is faced with a final intimidating obstacle—a horizontal overhang. Adrenaline courses through him, and Mori jumps for the final hold at the summit. From there, he casts his eyes upon something that he normally would not have seen—another peak, another goal. With an awakened passion and newfound purpose in life, Mori explores the breathtaking sport of rock climbing. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | -       |   11/1/2007    |  10/27/2011  | Finished          |   true   |       0       | -      | genre/Award-Winning, genre/Drama, genre/Sports                                               | https://myanimelist.net/manga/7375/Kokou_no_Hito                                                |    17   |  false  |
| Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de. | Three Days of Happiness  | 2016 |     Completed     |     ★ 10/10     |     ★ 8.78    |  manga   | manga | I Sold My Life for Ten Thousand Yen per Year., Three Days of Happiness, Mikkakan no Koufuku, 寿命を買い取ってもらった。一年につき、一万円で。, Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.  | Taguchi, Shouichi, Miaki, Sugaru |    18    |        0        |       0        | MALAPI Manga |       -        |      -       |  false   | -                         | Drama                                                    | 100448 | https://cdn.myanimelist.net/images/manga/5/260043.jpg |      -       | Helpless and struggling for cash, 20-year-old Kusunoki sells the last of his possessions to buy food. Noticing his poverty, an old shop owner directs him to a store that supposedly purchases lifespan, time, and health. While not completely believing the man's words, Kusunoki nevertheless finds himself at the address out of desperation and curiosity. Kusunoki is crushed when he finds out the true monetary value of his lifespan—totaling a meager three hundred thousand yen. Deciding to sell the next 30 years of his life for ten thousand yen per year, Kusunoki is left with only three months to live. After heading home with the money, he is greeted by an unexpected visitor: the same store clerk he sold his lifespan to. She introduces herself as Miyagi, the one tasked with the job of observing him until the last three days of his life. Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de. follows the remaining three months of Kusunoki's life as he confronts lingering regrets from the past and discovers what truly gives life value. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                         | -       |   8/10/2016    |  10/25/2017  | Finished          |   true   |       0       | -      | genre/Drama                                                                                  | https://myanimelist.net/manga/100448/Jumyou_wo_Kaitotte_Moratta_Ichinen_ni_Tsuki,_Ichimanen_de  |    3    |   true  |
