| Title                                                                      | English Title                                                                       | Year    | Status        | Personal Rating | Online Rating | Sub Type    | Type  | Actors                                                     | Alternate Titles                                                                                                                                                                                                                                                                               | Data Source | Date Completed | Date Started | Director            | Duration      | Episodes | Favorite | Franchise                              | Genres                                                   | Id         | Image                                                                                                                                   | Last Watched | Plot                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | Premiere   | Prequel | Released | Rewatch Count | Sequel | Streaming Services               | Studio                 | Tags                                                                                         | Url                                                                                                             | Watched | Writer                                             |
| :------------------------------------------------------------------------- | :---------------------------------------------------------------------------------- | :-----: | :-----------: | :-------------: | :-----------: | :---------: | :---: | :--------------------------------------------------------- | :--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | :---------- | :------------: | :----------: | :------------------ | :-----------: | :------: | :------: | :------------------------------------- | :------------------------------------------------------- | :--------: | :-------------------------------------------------------------------------------------------------------------------------------------- | :----------: | :-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | :--------: | :------ | :------: | :-----------: | :----- | :------------------------------- | :--------------------- | :------------------------------------------------------------------------------------------- | :-------------------------------------------------------------------------------------------------------------- | :-----: | :------------------------------------------------- |
| 12 Angry Men                                                               | 12 Angry Men                                                                        |   1957  |   Completed   |      ★ 9/10     |      ★ 9      |      -      | movie | Henry Fonda, Lee J. Cobb, Martin Balsam                    | -                                                                                                                                                                                                                                                                                              | OMDbAPI     |       -        |      -       | Sidney Lumet        |     96 min    |    1     |  false   | -                                      | Crime, Drama                                             | tt0050083  | https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_QL75_UX380_CR0,11,380,562_.jpg |      -       | The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              | 04/10/1957 | -       |   true   |       0       | -      | -                                | N/A                    | genre/Crime, genre/Drama                                                                     | https://www.imdb.com/title/tt0050083/                                                                           |   true  | Reginald Rose                                      |
| 12th Fail                                                                  | 12th Fail                                                                           |   2023  |   Completed   |     ★ 10/10     |     ★ 8.7     |      -      | movie | Vikrant Massey, Medha Shankr, Anant Joshi                  | -                                                                                                                                                                                                                                                                                              | OMDbAPI     |       -        |      -       | Vidhu Vinod Chopra  |    147 min    |    1     |  false   | -                                      | Biography, Drama                                         | tt23849204 | https://m.media-amazon.com/images/M/MV5BNTE3OTIxZDYtNjA0NC00N2YxLTg1NGQtOTYxNmZkMDkwOWNjXkEyXkFqcGc@._V1_SX300.jpg                      |      -       | The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 10/27/2023 | -       |   true   |       0       | -      | -                                | N/A                    | genre/Biography, genre/Drama                                                                 | https://www.imdb.com/title/tt23849204/                                                                          |   true  | Vidhu Vinod Chopra, Jaskunwar Kohli, Anurag Pathak |
| 3 Idiots                                                                   | 3 Idiots                                                                            |   2009  |   Completed   |        -        |     ★ 8.4     |      -      | movie | Aamir Khan, Madhavan, Mona Singh                           | -                                                                                                                                                                                                                                                                                              | OMDbAPI     |       -        |      -       | Rajkumar Hirani     |    170 min    |    -     |  false   | -                                      | Comedy, Drama                                            | tt1187043  | https://m.media-amazon.com/images/M/MV5BNzc4ZWQ3NmYtODE0Ny00YTQ4LTlkZWItNTBkMGQ0MmUwMmJlXkEyXkFqcGc@._V1_SX300.jpg                      |      -       | Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them "idiots".                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 12/25/2009 | -       |   true   |       0       | -      | -                                | N/A                    | genre/Comedy, genre/Drama                                                                    | https://www.imdb.com/title/tt1187043/                                                                           |  false  | Abhijat Joshi, Rajkumar Hirani, Vidhu Vinod Chopra |
| Byousoku 5 Centimeter                                                      | 5 Centimeters per Second                                                            |   2007  |   Completed   |      ★ 5/10     |     ★ 7.55    | anime-movie | movie | -                                                          | Byousoku 5 Centimeter - a chain of short stories about their distance, 5 cm per second, Five Centimeters Per Second, 5 Centimetres Per Second, 秒速５センチメートル, 5 Centimeters per Second, Byousoku 5 Centimeter                                                                                     | MALAPI      |       -        |      -       | -                   | 22 min per ep |    1     |  false   | -                                      | Drama, Romance                                           |    1689    | https://cdn.myanimelist.net/images/anime/1410/112994.jpg                                                                                |      -       | What happens when two people love each other but just aren't meant to be together? Takaki Toono and Akari Shinohara are childhood friends, but circumstances beyond their control tear them apart. They promise to stay in contact, and although the progression of time widens the distance between them, the chain of memories remains ever-present. Byousoku 5 Centimeter is a romantic drama that focuses on the mundane and harsh reality of long-distance relationships. Stuck in the past and unable to make any new memories, Takaki and Akari cling to the hope of seeing each other again. They live their everyday lives half-heartedly, both hurting themselves and the people around them. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |  3/3/2007  | -       |   true   |       0       | -      | Crunchyroll, Netflix             | CoMix Wave Films       | genre/Drama, genre/Romance                                                                   | https://myanimelist.net/anime/1689/Byousoku_5_Centimeter                                                        |   true  | -                                                  |
| A Quiet Place                                                              | A Quiet Place                                                                       |   2018  |   Completed   |      ★ 6/10     |     ★ 7.5     |      -      | movie | Emily Blunt, John Krasinski, Millicent Simmonds            | -                                                                                                                                                                                                                                                                                              | OMDbAPI     |       -        |      -       | John Krasinski      |     90 min    |    1     |  false   | [[A Quiet Place Franchise]]            | Drama, Horror, Sci-Fi                                    | tt6644200  | https://m.media-amazon.com/images/M/MV5BMjI0MDMzNTQ0M15BMl5BanBnXkFtZTgwMTM5NzM3NDM@._V1_SX300.jpg                                      |      -       | A family struggles for survival in a world invaded by blind alien creatures with ultra-sensitive hearing.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 04/06/2018 | -       |   true   |       0       | -      | -                                | N/A                    | genre/Drama, genre/Horror, genre/Sci-Fi                                                      | https://www.imdb.com/title/tt6644200/                                                                           |   true  | Bryan Woods, Scott Beck, John Krasinski            |
| Koe no Katachi                                                             | A Silent Voice                                                                      |   2016  |   Completed   |      ★ 7/10     |     ★ 8.93    | anime-movie | movie | -                                                          | A Silent Voice, Koe no Katachi, The Shape of Voice, 聲の形                                                                                                                                                                                                                                        | MALAPI      |       -        |      -       | -                   |  2 hr 10 min  |    1     |  false   | -                                      | Award Winning, Drama                                     |   28851    | https://cdn.myanimelist.net/images/anime/1122/96435.jpg                                                                                 |      -       | As a wild youth, elementary school student Shouya Ishida sought to beat boredom in the cruelest ways. When the deaf Shouko Nishimiya transfers into his class, Shouya and the rest of his class thoughtlessly bully her for fun. However, when her mother notifies the school, he is singled out and blamed for everything done to her. With Shouko transferring out of the school, Shouya is left at the mercy of his classmates. He is heartlessly ostracized all throughout elementary and middle school, while teachers turn a blind eye. Now in his third year of high school, Shouya is still plagued by his wrongdoings as a young boy. Sincerely regretting his past actions, he sets out on a journey of redemption: to meet Shouko once more and make amends. Koe no Katachi tells the heartwarming tale of Shouya's reunion with Shouko and his honest attempts to redeem himself, all while being continually haunted by the shadows of his past. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                | 9/17/2016  | -       |   true   |       0       | -      | Netflix                          | Kyoto Animation        | genre/Award-Winning, genre/Drama                                                             | https://myanimelist.net/anime/28851/Koe_no_Katachi                                                              |   true  | -                                                  |
| Shingeki no Kyojin: Chronicle                                              | Attack on Titan: Chronicle                                                          |   2020  |   Completed   |      ★ 8/10     |     ★ 7.84    | anime-movie | movie | -                                                          | Shingeki no Kyojin: Chronicle, Attack on Titan: Chronicle, 進撃の巨人 〜クロニクル〜                                                                                                                                                                                                                       | MALAPI      |       -        |      -       | -                   |      2 hr     |    1     |  false   | [[Attack on Titan Franchise]]          | Action, Drama, Suspense                                  |   42091    | https://cdn.myanimelist.net/images/anime/1786/110717.jpg                                                                                |      -       | The compilation film recaps the anime's 59 episodes from seasons one to three.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 7/17/2020  | -       |   true   |       0       | -      | -                                | Wit Studio             | genre/Action, genre/Drama, genre/Suspense                                                    | https://myanimelist.net/anime/42091/Shingeki_no_Kyojin_-_Chronicle                                              |   true  | -                                                  |
| Borat                                                                      | Borat                                                                               |   2006  |   Completed   |      ★ 7/10     |     ★ 7.4     |      -      | movie | Sacha Baron Cohen, Ken Davitian, Luenell                   | -                                                                                                                                                                                                                                                                                              | OMDbAPI     |       -        |      -       | Larry Charles       |     84 min    |    1     |  false   | [[Borat Franchise]]                    | Comedy                                                   | tt0443453  | https://m.media-amazon.com/images/M/MV5BMTk0MTQ3NDQ4Ml5BMl5BanBnXkFtZTcwOTQ3OTQzMw@@._V1_SX300.jpg                                      |      -       | Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 11/03/2006 | -       |   true   |       0       | -      | -                                | N/A                    | genre/Comedy                                                                                 | https://www.imdb.com/title/tt0443453/                                                                           |   true  | Sacha Baron Cohen, Anthony Hines, Peter Baynham    |
| Borat Subsequent Moviefilm                                                 | Borat Subsequent Moviefilm                                                          |   2020  |   Completed   |      ★ 7/10     |     ★ 6.6     |      -      | movie | Sacha Baron Cohen, Maria Bakalova, Tom Hanks               | -                                                                                                                                                                                                                                                                                              | OMDbAPI     |       -        |      -       | Jason Woliner       |     95 min    |    1     |  false   | [[Borat Franchise]]                    | Comedy                                                   | tt13143964 | https://m.media-amazon.com/images/M/MV5BOWJmNDcyOTItYTE0ZS00NzAwLThjNGUtYTdhMjBjMTAwNDc4XkEyXkFqcGc@._V1_SX300.jpg                      |      -       | Borat returns from Kazakhstan to America, this time to reveal more about its culture, the COVID-19 pandemic, and the political elections.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 10/23/2020 | -       |   true   |       0       | -      | -                                | N/A                    | genre/Comedy                                                                                 | https://www.imdb.com/title/tt13143964/                                                                          |   true  | Sacha Baron Cohen, Anthony Hines, Dan Swimer       |
