| Title                          | English Title                  | Year      | Status        | Personal Rating | Online Rating | Sub Type | Type   | Aired From | Aired To   | Airing | Alternate Titles | Current Episode | Data Source | Date Completed | Date Started | Duration      | Episodes | Favorite | Franchise                  | Genres                                      | Id         | Image                                                                                                                                   | Last Watched | Plot                                                                                                                                                                                                                                                                                                                                                                                                                   | Prequel | Released | Rewatch Count | Sequel | Streaming Services | Studio                            | Tags                                                              | Url                                    | Watched | Writer                                                | Body Text                                                                                                                                                                                                                                                                                                                                                                                                              |
| :----------------------------- | :----------------------------- | :-------: | :-----------: | :-------------: | :-----------: | :------: | :----: | :--------: | :--------: | :----: | :--------------- | :-------------: | :---------- | :------------: | :----------: | :-----------: | :------: | :------: | :------------------------- | :------------------------------------------ | :--------: | :-------------------------------------------------------------------------------------------------------------------------------------- | :----------: | :--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | :------ | :------: | :-----------: | :----- | :----------------- | :-------------------------------- | :---------------------------------------------------------------- | :------------------------------------- | :-----: | :---------------------------------------------------- | :--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| A Knight of the Seven Kingdoms | A Knight of the Seven Kingdoms |    2026   |   Completed   |     ★ 10/10     |     ★ 8.44    |    tv    | series | 01/18/2026 | 02/22/2026 |  true  | -                |        -        | TMDb        |       -        |      -       | 45 min per ep |    6     |    -     | -                          | Drama, Sci-Fi & Fantasy, Action & Adventure |   224372   | https://image.tmdb.org/t/p/w500/k8yARbD9iYn2nRX2HvsopfKDN2r.jpg                                                                         |      -       | A century before the events of Game of Thrones, two unlikely heroes wandered Westeros: a young, naive but courageous knight, Ser Duncan the Tall, and his diminutive squire, Egg. Set in an age when the Targaryen line still holds the Iron Throne and the last dragon has not yet passed from living memory, great destinies, powerful foes, and dangerous exploits await these improbable and incomparable friends. | -       |  false   |       -       | -      | -                  | Friendly Wolf Pictures, GRRM, HBO | genre/Drama, genre/Sci-Fi-and-Fantasy, genre/Action-and-Adventure | https://www.themoviedb.org/tv/224372   |  false  | -                                                     | A century before the events of Game of Thrones, two unlikely heroes wandered Westeros: a young, naive but courageous knight, Ser Duncan the Tall, and his diminutive squire, Egg. Set in an age when the Targaryen line still holds the Iron Throne and the last dragon has not yet passed from living memory, great destinies, powerful foes, and dangerous exploits await these improbable and incomparable friends. |
| Adolescence                    | Adolescence                    |    2025   |   Completed   |      ★ 9/10     |     ★ 8.1     |  series  | series | 03/13/2025 |  unknown   | false  | -                |        0        | OMDbAPI     |       -        |      -       |      N/A      |    4     |  false   | -                          | Crime, Drama, Thriller                      | tt31806037 | https://m.media-amazon.com/images/M/MV5BNGY1YjBiNzMtYWZhNC00OWViLWE0MzItNjc4YzczOGNiM2I0XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg  |      -       | When a 13-year-old is accused of the murder of a classmate, his family, therapist and the detective in charge are all left asking what really happened.                                                                                                                                                                                                                                                                | -       |   true   |       0       | -      | -                  | -                                 | genre/Crime, genre/Drama, genre/Thriller                          | https://www.imdb.com/title/tt31806037/ |   true  | Stephen Graham, Jack Thorne                           | -                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Better Call Saul               | Better Call Saul               | 2015–2022 |   Completed   |     ★ 10/10     |      ★ 9      |  series  | series | 02/08/2015 |  unknown   | false  | -                |        0        | OMDbAPI     |       -        |      -       |     46 min    |    63    |  false   | [[Breaking Bad Franchise]] | Crime, Drama                                | tt3032476  | https://m.media-amazon.com/images/M/MV5BNDdjNTEzMjMtYjM3Mi00NzQ3LWFlNWMtZjdmYWU3ZDkzMjk1XkEyXkFqcGc@._V1_SX300.jpg                      |      -       | Albuquerque lawyer Jimmy McGill scrapes for clients and respect, but every win drags him closer to shady deals, dangerous players, and the alter ego Saul Goodman.                                                                                                                                                                                                                                                     | -       |   true   |       0       | -      | -                  | -                                 | genre/Crime, genre/Drama                                          | https://www.imdb.com/title/tt3032476/  |   true  | Vince Gilligan, Peter Gould                           | -                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Breaking Bad                   | Breaking Bad                   | 2008–2013 |   Completed   |     ★ 10/10     |     ★ 9.5     |  series  | series | 01/20/2008 |  unknown   | false  | -                |        0        | OMDbAPI     |       -        |      -       |     49 min    |    62    |  false   | [[Breaking Bad Franchise]] | Crime, Drama, Thriller                      | tt0903747  | https://m.media-amazon.com/images/M/MV5BMzU5ZGYzNmQtMTdhYy00OGRiLTg0NmQtYjVjNzliZTg1ZGE4XkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg  |      -       | A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student to secure his family's future.                                                                                                                                                                                                                                                      | -       |   true   |       0       | -      | -                  | -                                 | genre/Crime, genre/Drama, genre/Thriller                          | https://www.imdb.com/title/tt0903747/  |   true  | Vince Gilligan                                        | -                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Dark                           | Dark                           | 2017–2020 |   Completed   |     ★ 10/10     |     ★ 8.7     |  series  | series | 12/01/2017 |  unknown   | false  | -                |        0        | OMDbAPI     |       -        |      -       |     60 min    |    26    |  false   | -                          | Crime, Drama, Mystery                       | tt5753856  | https://m.media-amazon.com/images/M/MV5BOWJjMGViY2UtNTAzNS00ZGFjLWFkNTMtMDBiMDMyZTM1NTY3XkEyXkFqcGc@._V1_QL75_UX380_CR0,57,380,562_.jpg |      -       | A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.                                                                                                                                                                                                                                                             | -       |   true   |       0       | -      | -                  | -                                 | genre/Crime, genre/Drama, genre/Mystery                           | https://www.imdb.com/title/tt5753856/  |   true  | Baran bo Odar, Jantje Friese                          | -                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Game of Thrones                | Game of Thrones                | 2011–2019 |   Completed   |     ★ 10/10     |     ★ 9.2     |  series  | series | 04/17/2011 |  unknown   | false  | -                |        0        | OMDbAPI     |       -        |      -       |     57 min    |    73    |  false   | -                          | Action, Adventure, Drama                    | tt0944947  | https://m.media-amazon.com/images/M/MV5BMTNhMDJmNmYtNDQ5OS00ODdlLWE0ZDAtZTgyYTIwNDY3OTU3XkEyXkFqcGc@._V1_QL75_UX380_CR0,3,380,562_.jpg  |      -       | Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.                                                                                                                                                                                                                                                                                    | -       |   true   |       0       | -      | -                  | -                                 | genre/Action, genre/Adventure, genre/Drama                        | https://www.imdb.com/title/tt0944947/  |   true  | David Benioff, D.B. Weiss                             | -                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Gen V                          | Gen V                          |   2023–   |   Completed   |      ★ 7/10     |     ★ 7.6     |  series  | series | 09/29/2023 |  unknown   |  true  | -                |        0        | OMDbAPI     |       -        |      -       |      N/A      |    16    |  false   | -                          | Action, Adventure, Comedy                   | tt13159924 | https://m.media-amazon.com/images/M/MV5BYWU4YTljYmItYjczNS00MWY0LWI3NjctZjJhYjU3NWNmNWZhXkEyXkFqcGc@._V1_SX300.jpg                      |      -       | From the world of "The Boys" comes "Gen V," which explores the first generation of superheroes to know that their super powers are from Compound V. These heroes put their physical and moral boundaries to the test competing for the...                                                                                                                                                                              | -       |   true   |       0       | -      | -                  | -                                 | genre/Action, genre/Adventure, genre/Comedy                       | https://www.imdb.com/title/tt13159924/ |   true  | Evan Goldberg, Eric Kripke, Craig Rosenberg           | -                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Hannibal                       | Hannibal                       | 2013–2015 |    Dropped    |      ★ 8/10     |     ★ 8.5     |  series  | series | 04/04/2013 |  unknown   | false  | -                |        26       | OMDbAPI     |       -        |      -       |     44 min    |    39    |  false   | -                          | Crime, Drama, Horror                        | tt2243973  | https://m.media-amazon.com/images/M/MV5BNjBmYjdiMzItNTEwNi00YTI2LTg4YjctOTRjNDYxNTUxNGQ1XkEyXkFqcGc@._V1_SX300.jpg                      |      -       | Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.                                                                                                                                                                                                                                        | -       |   true   |       0       | -      | -                  | -                                 | genre/Crime, genre/Drama, genre/Horror                            | https://www.imdb.com/title/tt2243973/  |  false  | Bryan Fuller                                          | -                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Hostel Daze                    | Hostel Daze                    | 2019–2023 |   Completed   |      ★ 8/10     |     ★ 8.5     |  series  | series | 12/13/2019 |  unknown   | false  | -                |        0        | OMDbAPI     |       -        |      -       |    159 min    |    21    |  false   | -                          | Comedy, Drama                               | tt11407524 | https://m.media-amazon.com/images/M/MV5BZWZlNWMxNDYtNTAzYi00OWFiLThhZDUtZGZkYWMyMzQ5ZGYyXkEyXkFqcGc@._V1_SX300.jpg                      |      -       | Through the adventures of four friends 'Hostel Daze' captures what goes inside an engineering hostel in India.                                                                                                                                                                                                                                                                                                         | -       |   true   |       0       | -      | -                  | -                                 | genre/Comedy, genre/Drama                                         | https://www.imdb.com/title/tt11407524/ |   true  | Saurabh Khanna                                        | -                                                                                                                                                                                                                                                                                                                                                                                                                      |
